rentree_scolaire,denomination_principale_x,secteur,nombre_d_eleves,latitude,longitude,appariement,nature_uai_libe,numero_uai,code_departement
2021,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1897,47.27306178257921,-2.232504824963974,Parfaite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0440069L,044
2021,LYC POLYVAL PRIVE DES METIERS,PRIVE,198,47.275530372515526,-2.234659819641128,MANUEL,LYCEE POLYVALENT,0440119R,044
2021,LYCEE GENERAL PRIVE,PRIVE,449,47.26853420950614,-2.2192895608755503,Parfaite,LYCEE D ENSEIGNEMENT GENERAL,0440177D,044
2021,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,672,47.27450617067319,-2.2084805478030347,Parfaite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0440178E,044
2021,ETABLISSEMENT EXPERIMENTAL,PUBLIC,117,47.273137018642814,-2.205320010316363,Correcte,LYCEE EXPERIMENTAL,0442286W,044
2021,LYC POLYVAL PRIVE DES METIERS,PRIVE,321,47.189743779850126,-1.5173123201131349,Parfaite,LYCEE POLYVALENT,0440256P,44
2021,LYCEE POLYVALENT PRIVE,PRIVE,276,47.20615303801964,-1.520705300478226,Parfaite,LYCEE POLYVALENT,0440279P,044
2021,LYC POLYVAL PRIVE DES METIERS,PRIVE,457,47.189743779850126,-1.5173123201131349,Parfaite,LYCEE POLYVALENT,0441653H,044
2021,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,999,47.36468046177799,-1.9398403603253065,Parfaite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0440077V,044
2021,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,185,47.37087137011859,-1.94033420480687,Parfaite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0442924P,044
2021,LYCEE GENERAL,PUBLIC,915,47.466223023596,-0.5444200738515328,Parfaite,LYCEE D ENSEIGNEMENT GENERAL,0490001K,049
2021,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1082,47.4758331148171,-0.5463698691686687,Parfaite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0490002L,049
2021,LYCEE POLYVALENT,PUBLIC,1357,47.45435034132608,-0.5569974847068891,Parfaite,LYCEE POLYVALENT,0490003M,49
2021,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,659,47.464793034590855,-0.5471397209802862,Parfaite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0490819Z,49
2021,LYCEE GENERAL PRIVE,PRIVE,652,47.46926190877361,-0.5514399538215297,Parfaite,LYCEE D ENSEIGNEMENT GENERAL,0490824E,049
2021,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,838,47.47102146434039,-0.5914401401004242,Parfaite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0491966W,49
2021,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,1106,47.47234534968095,-0.5558096473323988,Parfaite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0492015Z,049
2021,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,869,47.47567444696256,-0.5695701307031868,Parfaite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0492061Z,049
2021,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,487,47.489917408044526,-0.5269851587014079,Correcte,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0492089E,049
2021,LYCEE POLYVALENT,PUBLIC,603,47.49133245870875,-0.5499195559262553,Parfaite,LYCEE POLYVALENT,0492123S,49
2021,LYC GEN TECH PRIVE DES METIERS,PRIVE,1071,47.46019167125144,-0.5277404925952388,Parfaite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0492407A,049
2021,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,622,47.19823198229807,-0.996455448626727,MANUEL,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0490828J,49
2021,LYCEE POLYVALENT,PUBLIC,502,47.1923479188774,-0.99268040718908,Parfaite,LYCEE POLYVALENT,0492430A,049
2021,LYCEE GENERAL PRIVE,PRIVE,240,47.15643662512266,-0.6375795575597043,Parfaite,LYCEE D ENSEIGNEMENT GENERAL,0490837U,049
2021,LYCEE POLYVALENT,PUBLIC,12,47.217632892133466,-0.7277198231717157,Parfaite,LYCEE POLYVALENT,0492224B,049
2021,LPO LYCEE DES METIERS,PUBLIC,515,47.045327820745584,-0.8844494942593625,Parfaite,LYCEE POLYVALENT,0490018D,49
2021,LPO LYCEE DES METIERS,PUBLIC,906,47.06995691482097,-0.8903999177081777,Correcte,LYCEE POLYVALENT,0490054T,049
2021,LYC POLYVAL PRIVE DES METIERS,PRIVE,296,47.06391906586731,-0.8681094647641268,Parfaite,LYCEE POLYVALENT,0490904S,049
2021,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,928,47.05944910070926,-0.8777806576990039,Correcte,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0492406Z,49
2021,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,648,47.4413691161452,-0.5285097047395081,Correcte,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0492148U,049
